Daily Observed Min/Max Temperature & Precipitation,,,,
,Phoenix AZ - KPHX,,,
Date,Min,Max,Avg,Precip
25-Mar-17,57,83,70,-
26-Mar-17,56,82,69,-
27-Mar-17,59,83,71,-
28-Mar-17,57,79,68,-
29-Mar-17,57,85,71,-
30-Mar-17,58,90,74,-
31-Mar-17,56,70,63,-
1-Apr-17,52,73,62.5,-
2-Apr-17,53,82,67.5,-
3-Apr-17,59,85,72,-
4-Apr-17,57,79,68,-
5-Apr-17,57,85,71,-
6-Apr-17,60,91,75.5,-
7-Apr-17,63,90,76.5,-
8-Apr-17,61,89,75,-
9-Apr-17,61,80,70.5,-
10-Apr-17,56,85,70.5,-
11-Apr-17,58,89,73.5,-
12-Apr-17,61,92,76.5,-
13-Apr-17,65,94,79.5,-
14-Apr-17,62,90,76,-
15-Apr-17,61,88,74.5,-
16-Apr-17,62,91,76.5,-
17-Apr-17,62,93,77.5,-
18-Apr-17,65,95,80,-
19-Apr-17,70,90,80,-
20-Apr-17,64,93,78.5,-
21-Apr-17,62,95,78.5,-
22-Apr-17,65,96,80.5,-
23-Apr-17,68,99,83.5,-
24-Apr-17,69,93,81,-
25-Apr-17,69,87,78,-
26-Apr-17,64,90,77,-
27-Apr-17,68,90,79,-
28-Apr-17,67,87,77,-
29-Apr-17,58,81,69.5,-
30-Apr-17,58,87,72.5,-
1-May-17,62,94,78,-
2-May-17,67,97,82,-
3-May-17,69,100,84.5,-
4-May-17,73,103,88,-
5-May-17,76,108,92,-
6-May-17,73,98,85.5,-
7-May-17,64,74,69,-
8-May-17,60,83,71.5,-
9-May-17,57,76,66.5,0.01
10-May-17,60,80,70,-
11-May-17,64,90,77,-
12-May-17,71,97,84,-
13-May-17,71,99,85,-
14-May-17,70,93,81.5,-
15-May-17,69,88,78.5,-
16-May-17,61,78,69.5,-
17-May-17,62,87,74.5,-
18-May-17,67,86,76.5,-
19-May-17,62,87,74.5,-
20-May-17,68,94,81,-
21-May-17,70,101,85.5,-
22-May-17,73,104,88.5,-
23-May-17,77,104,90.5,-
24-May-17,75,108,91.5,-
25-May-17,79,102,90.5,-
26-May-17,74,96,85,-
27-May-17,70,96,83,-
28-May-17,72,102,87,-
29-May-17,73,104,88.5,-
30-May-17,77,101,89,-
31-May-17,76,101,88.5,-
1-Jun-17,78,99,88.5,-
2-Jun-17,75,102,88.5,-
3-Jun-17,78,107,92.5,-
4-Jun-17,82,107,94.5,-
5-Jun-17,83,107,95,-
6-Jun-17,84,107,95.5,-
7-Jun-17,82,106,94,-
8-Jun-17,78,105,91.5,-
9-Jun-17,79,106,92.5,-
10-Jun-17,78,102,90,-
11-Jun-17,76,101,88.5,-
12-Jun-17,76,93,84.5,-
13-Jun-17,69,96,82.5,-
14-Jun-17,70,103,86.5,-
15-Jun-17,73,108,90.5,-
16-Jun-17,76,109,92.5,-
17-Jun-17,78,110,94,-
18-Jun-17,80,112,96,-
19-Jun-17,84,118,101,-
20-Jun-17,86,119,102.5,-
21-Jun-17,90,117,103.5,-
22-Jun-17,91,113,102,-
23-Jun-17,87,112,99.5,-
24-Jun-17,88,116,102,-
25-Jun-17,93,116,104.5,-
26-Jun-17,91,112,101.5,-
27-Jun-17,86,110,98,-
28-Jun-17,84,108,96,-
29-Jun-17,83,108,95.5,-
30-Jun-17,83,109,96,-
1-Jul-17,80,112,96,-
2-Jul-17,83,110,96.5,-
3-Jul-17,88,107,97.5,-
4-Jul-17,88,111,99.5,-
5-Jul-17,87,112,99.5,-
6-Jul-17,88,111,99.5,-
7-Jul-17,91,118,104.5,-
8-Jul-17,95,113,104,-
9-Jul-17,87,109,98,-
10-Jul-17,88,109,98.5,-
11-Jul-17,82,104,93,0.03
12-Jul-17,85,108,96.5,-
13-Jul-17,87,109,98,-
14-Jul-17,86,108,97,-
15-Jul-17,87,109,98,-
16-Jul-17,74,104,89,0.38
17-Jul-17,76,99,87.5,0.05
18-Jul-17,79,103,91,-
19-Jul-17,82,102,92,-
20-Jul-17,83,103,93,0.01
21-Jul-17,83,103,93,0.01
22-Jul-17,83,106,94.5,-
23-Jul-17,76,103,89.5,0.21
24-Jul-17,75,90,82.5,0.18
25-Jul-17,80,102,91,-
26-Jul-17,84,106,95,-
27-Jul-17,89,110,99.5,-
28-Jul-17,85,101,93,-
29-Jul-17,83,103,93,0.02
30-Jul-17,80,99,89.5,-
31-Jul-17,85,107,96,-
1-Aug-17,87,101,94,-
2-Aug-17,81,96,88.5,0.01
3-Aug-17,74,104,89,0.92
4-Aug-17,76,103,89.5,-
5-Aug-17,83,106,94.5,-
6-Aug-17,84,105,94.5,-
7-Aug-17,83,107,95,-
8-Aug-17,82,108,95,-
9-Aug-17,85,111,98,-
10-Aug-17,89,105,97,-
11-Aug-17,82,108,95,-
12-Aug-17,80,103,91.5,0.11
13-Aug-17,73,99,86,0.33
14-Aug-17,79,103,91,-
15-Aug-17,83,102,92.5,-
16-Aug-17,78,103,90.5,-
17-Aug-17,78,104,91,-
18-Aug-17,79,106,92.5,-
19-Aug-17,81,105,93,-
20-Aug-17,84,102,93,-
21-Aug-17,85,104,94.5,-
22-Aug-17,83,108,95.5,-
23-Aug-17,78,107,92.5,0.06
24-Aug-17,79,104,91.5,-
25-Aug-17,85,108,96.5,-
26-Aug-17,87,110,98.5,-
27-Aug-17,89,111,100,-
28-Aug-17,90,110,100,-
29-Aug-17,88,109,98.5,-
30-Aug-17,89,108,98.5,-
31-Aug-17,86,108,97,-
1-Sep-17,85,110,97.5,-
2-Sep-17,84,102,93,-
3-Sep-17,83,103,93,-
4-Sep-17,82,104,93,-
5-Sep-17,85,108,96.5,-
6-Sep-17,86,109,97.5,-
7-Sep-17,85,105,95,-
8-Sep-17,81,98,89.5,-
9-Sep-17,80,97,88.5,-
10-Sep-17,80,105,92.5,-
11-Sep-17,88,108,98,-
12-Sep-17,86,110,98,-
13-Sep-17,86,108,97,-
14-Sep-17,85,101,93,-
15-Sep-17,77,98,87.5,-
16-Sep-17,74,97,85.5,-
17-Sep-17,77,98,87.5,-
18-Sep-17,72,99,85.5,-
19-Sep-17,71,100,85.5,-
20-Sep-17,72,99,85.5,-
21-Sep-17,72,98,85,-
22-Sep-17,73,90,81.5,-
23-Sep-17,66,86,76,-
24-Sep-17,62,86,74,-
25-Sep-17,62,89,75.5,-
26-Sep-17,63,89,76,-
27-Sep-17,68,92,80,-
28-Sep-17,67,94,80.5,-
29-Sep-17,69,98,83.5,-
30-Sep-17,71,98,84.5,-
1-Oct-17,69,98,83.5,-
2-Oct-17,69,92,80.5,-
3-Oct-17,69,97,83,-
4-Oct-17,70,99,84.5,-
5-Oct-17,75,98,86.5,-
6-Oct-17,69,97,83,-
7-Oct-17,66,96,81,-
8-Oct-17,65,94,79.5,-
9-Oct-17,66,89,77.5,-
10-Oct-17,62,91,76.5,-
11-Oct-17,71,98,84.5,-
12-Oct-17,66,94,80,-
13-Oct-17,68,95,81.5,-
14-Oct-17,67,94,80.5,-
15-Oct-17,65,97,81,-
16-Oct-17,69,99,84,-
17-Oct-17,72,97,84.5,-
18-Oct-17,71,96,83.5,-
19-Oct-17,74,96,85,-
20-Oct-17,68,89,78.5,-
21-Oct-17,66,85,75.5,-
22-Oct-17,61,92,76.5,-
23-Oct-17,63,97,80,-
24-Oct-17,67,99,83,-
25-Oct-17,71,94,82.5,-
26-Oct-17,66,93,79.5,-
27-Oct-17,61,92,76.5,-
28-Oct-17,64,92,78,-
29-Oct-17,65,91,78,-
30-Oct-17,63,86,74.5,-
31-Oct-17,63,82,72.5,-
1-Nov-17,63,84,73.5,-
2-Nov-17,64,82,73,-
3-Nov-17,60,81,70.5,-
4-Nov-17,68,82,75,-
5-Nov-17,63,79,71,-
6-Nov-17,59,83,71,-
7-Nov-17,65,81,73,-
8-Nov-17,64,83,73.5,-
9-Nov-17,64,85,74.5,-
10-Nov-17,61,86,73.5,-
11-Nov-17,59,85,72,-
12-Nov-17,58,86,72,-
13-Nov-17,64,88,76,-
14-Nov-17,60,87,73.5,-
15-Nov-17,58,84,71,-
16-Nov-17,60,86,73,-
17-Nov-17,62,80,71,-
18-Nov-17,56,79,67.5,-
19-Nov-17,52,82,67,-
20-Nov-17,54,79,66.5,-
21-Nov-17,55,79,67,-
22-Nov-17,55,88,71.5,-
23-Nov-17,59,87,73,-
24-Nov-17,58,86,72,-
25-Nov-17,58,86,72,-
26-Nov-17,57,89,73,-
27-Nov-17,57,82,69.5,-
28-Nov-17,53,74,63.5,-
29-Nov-17,57,77,67,-
30-Nov-17,62,76,69,-
1-Dec-17,61,78,69.5,-
2-Dec-17,58,84,71,-
3-Dec-17,57,80,68.5,-
4-Dec-17,53,73,63,-
5-Dec-17,50,66,58,0.07
6-Dec-17,50,75,62.5,-
7-Dec-17,49,66,57.5,-
8-Dec-17,42,66,54,-
9-Dec-17,43,76,59.5,-
10-Dec-17,60,78,69,-
11-Dec-17,52,76,64,-
12-Dec-17,46,75,60.5,-
13-Dec-17,46,77,61.5,-
14-Dec-17,45,74,59.5,-
15-Dec-17,50,72,61,-
16-Dec-17,49,67,58,-
17-Dec-17,50,61,55.5,0.16
18-Dec-17,46,67,56.5,-
19-Dec-17,44,67,55.5,-
20-Dec-17,45,68,56.5,-
21-Dec-17,43,57,50,-
22-Dec-17,36,58,47,-
23-Dec-17,39,61,50,-
24-Dec-17,41,70,55.5,-
25-Dec-17,43,66,54.5,-
26-Dec-17,41,70,55.5,-
27-Dec-17,46,73,59.5,-
28-Dec-17,43,75,59,-
29-Dec-17,45,77,61,-
30-Dec-17,47,77,62,-
31-Dec-17,45,70,57.5,-
1-Jan-18,43,73,58,-
2-Jan-18,48,75,61.5,-
3-Jan-18,47,76,61.5,-
4-Jan-18,56,79,67.5,-
5-Jan-18,50,77,63.5,-
6-Jan-18,51,74,62.5,-
7-Jan-18,53,75,64,-
8-Jan-18,54,75,64.5,-
9-Jan-18,54,80,67,0.16
10-Jan-18,52,65,58.5,0.05
11-Jan-18,48,70,59,-
12-Jan-18,48,72,60,-
13-Jan-18,47,78,62.5,-
14-Jan-18,48,79,63.5,-
15-Jan-18,49,75,62,-
16-Jan-18,51,74,62.5,-
17-Jan-18,52,72,62,-
18-Jan-18,46,75,60.5,-
19-Jan-18,48,77,62.5,-
20-Jan-18,50,61,55.5,-
21-Jan-18,41,58,49.5,-
22-Jan-18,40,61,50.5,-
23-Jan-18,40,70,55,-
24-Jan-18,49,76,62.5,-
25-Jan-18,46,77,61.5,-
26-Jan-18,47,68,57.5,-
27-Jan-18,43,73,58,-
28-Jan-18,45,80,62.5,-
29-Jan-18,55,83,69,-
30-Jan-18,51,82,66.5,-
31-Jan-18,50,81,65.5,-
1-Feb-18,50,80,65,-
2-Feb-18,50,80,65,-
3-Feb-18,49,78,63.5,-
4-Feb-18,50,80,65,-
5-Feb-18,52,81,66.5,-
6-Feb-18,51,80,65.5,-
7-Feb-18,49,79,64,-
8-Feb-18,48,84,66,-
9-Feb-18,53,82,67.5,-
10-Feb-18,52,78,65,-
11-Feb-18,58,76,67,-
12-Feb-18,54,66,60,-
13-Feb-18,58,73,65.5,-
14-Feb-18,54,61,57.5,0.28
15-Feb-18,54,66,60,0.02
16-Feb-18,53,66,59.5,-
17-Feb-18,50,71,60.5,-
18-Feb-18,51,74,62.5,-
19-Feb-18,48,68,58,-
20-Feb-18,43,60,51.5,-
21-Feb-18,39,60,49.5,-
22-Feb-18,41,63,52,-
23-Feb-18,41,62,51.5,-
24-Feb-18,39,60,49.5,-
25-Feb-18,39,64,51.5,-
26-Feb-18,41,69,55,-
27-Feb-18,45,69,57,0.22
28-Feb-18,44,60,52,-
1-Mar-18,44,71,57.5,-
2-Mar-18,46,77,61.5,-
3-Mar-18,48,76,62,-
4-Mar-18,53,67,60,-
5-Mar-18,45,72,58.5,-
6-Mar-18,49,80,64.5,-
7-Mar-18,51,79,65,-
8-Mar-18,57,81,69,-
9-Mar-18,54,84,69,-
10-Mar-18,62,75,68.5,-
11-Mar-18,58,76,67,0.04
12-Mar-18,58,83,70.5,-
13-Mar-18,60,83,71.5,-
14-Mar-18,61,85,73,-
15-Mar-18,57,72,64.5,-
16-Mar-18,53,74,63.5,-
17-Mar-18,51,73,62,-
18-Mar-18,53,68,60.5,-
19-Mar-18,50,74,62,-
20-Mar-18,50,80,65,-
21-Mar-18,56,83,69.5,-
22-Mar-18,62,89,75.5,-
23-Mar-18,70,84,77,-
24-Mar-18,59,82,70.5,-
25-Mar-18,55,77,66,-
26-Mar-18,55,75,65,-
27-Mar-18,53,76,64.5,-
28-Mar-18,53,80,66.5,-
29-Mar-18,56,86,71,-
30-Mar-18,60,89,74.5,-
31-Mar-18,62,92,77,-
1-Apr-18,66,93,79.5,-
2-Apr-18,62,89,75.5,-
3-Apr-18,62,88,75,-
4-Apr-18,63,90,76.5,-
5-Apr-18,64,92,78,-
6-Apr-18,67,93,80,-
7-Apr-18,69,94,81.5,-
8-Apr-18,74,92,83,-
9-Apr-18,65,95,80,-
10-Apr-18,66,100,83,-
11-Apr-18,66,96,81,-
12-Apr-18,66,87,76.5,-
13-Apr-18,60,79,69.5,-
14-Apr-18,57,83,70,-
15-Apr-18,58,91,74.5,-
16-Apr-18,64,84,74,-
17-Apr-18,58,75,66.5,-
18-Apr-18,54,83,68.5,-
19-Apr-18,58,85,71.5,-
20-Apr-18,56,78,67,-
21-Apr-18,59,89,74,-
22-Apr-18,63,94,78.5,-
23-Apr-18,65,96,80.5,-
24-Apr-18,68,98,83,-
25-Apr-18,69,99,84,-
26-Apr-18,70,97,83.5,-
27-Apr-18,71,100,85.5,-
28-Apr-18,74,98,86,-
29-Apr-18,67,94,80.5,-
30-Apr-18,67,86,76.5,-
1-May-18,64,77,70.5,-
2-May-18,60,75,67.5,-
3-May-18,58,83,70.5,-
4-May-18,64,96,80,-
5-May-18,68,103,85.5,-
6-May-18,73,106,89.5,-
7-May-18,77,101,89,-
8-May-18,74,106,90,-
9-May-18,74,105,89.5,-
10-May-18,74,106,90,-
11-May-18,75,102,88.5,-
12-May-18,72,90,81,-
13-May-18,66,90,78,-
14-May-18,68,95,81.5,-
15-May-18,69,95,82,-
16-May-18,70,99,84.5,-
17-May-18,71,98,84.5,-
18-May-18,69,93,81,-
19-May-18,70,97,83.5,-
20-May-18,72,99,85.5,-
21-May-18,72,97,84.5,-
22-May-18,70,95,82.5,-
23-May-18,70,95,82.5,-
24-May-18,72,100,86,-
25-May-18,72,100,86,-
26-May-18,72,94,83,-
27-May-18,69,93,81,-
28-May-18,71,98,84.5,-
29-May-18,75,102,88.5,-
30-May-18,80,102,91,-
31-May-18,74,101,87.5,-
1-Jun-18,75,100,87.5,-
2-Jun-18,74,106,90,-
3-Jun-18,76,108,92,-
4-Jun-18,78,110,94,-
5-Jun-18,79,106,92.5,-
6-Jun-18,79,105,92,-
7-Jun-18,75,103,89,-
8-Jun-18,78,107,92.5,-
9-Jun-18,79,108,93.5,-
10-Jun-18,78,106,92,-
11-Jun-18,77,107,92,-
12-Jun-18,73,109,91,-
13-Jun-18,87,109,98,-
14-Jun-18,90,109,99.5,-
15-Jun-18,82,95,88.5,-
16-Jun-18,74,82,78,-
17-Jun-18,74,100,87,-
18-Jun-18,73,101,87,-
19-Jun-18,76,103,89.5,-
20-Jun-18,79,109,94,-
21-Jun-18,80,110,95,-
22-Jun-18,82,111,96.5,-
23-Jun-18,83,109,96,-
24-Jun-18,81,105,93,-
25-Jun-18,82,106,94,-
26-Jun-18,80,110,95,-
27-Jun-18,83,110,96.5,-
28-Jun-18,85,109,97,-
29-Jun-18,82,105,93.5,-
30-Jun-18,79,104,91.5,-
1-Jul-18,77,104,90.5,-
2-Jul-18,79,108,93.5,-
3-Jul-18,82,110,96,-
4-Jul-18,87,107,97,-
5-Jul-18,88,115,101.5,-
6-Jul-18,94,111,102.5,-
7-Jul-18,91,113,102,-
8-Jul-18,90,111,100.5,-
9-Jul-18,74,107,90.5,0.35
10-Jul-18,78,98,88,0.09
11-Jul-18,79,101,90,-
12-Jul-18,79,109,94,-
13-Jul-18,86,106,96,-
14-Jul-18,87,103,95,-
15-Jul-18,88,100,94,-
16-Jul-18,84,105,94.5,-
17-Jul-18,84,107,95.5,-
18-Jul-18,85,103,94,-
19-Jul-18,87,106,96.5,-
20-Jul-18,91,109,100,-
21-Jul-18,79,102,90.5,0.01
22-Jul-18,85,109,97,-
23-Jul-18,89,115,102,-
24-Jul-18,91,116,103.5,0.03
25-Jul-18,93,116,104.5,-
26-Jul-18,94,111,102.5,-
27-Jul-18,93,110,101.5,-
28-Jul-18,89,108,98.5,-
29-Jul-18,84,105,94.5,-
30-Jul-18,82,109,95.5,0.01
31-Jul-18,83,107,95,-
1-Aug-18,91,111,101,-
2-Aug-18,88,111,99.5,0.05
3-Aug-18,87,110,98.5,-
4-Aug-18,91,112,101.5,-
5-Aug-18,91,113,102,-
6-Aug-18,91,114,102.5,-
7-Aug-18,83,110,96.5,0.08
8-Aug-18,75,103,89,0.08
9-Aug-18,76,101,88.5,-
10-Aug-18,72,100,86,0.12
11-Aug-18,74,101,87.5,0.04
12-Aug-18,80,102,91,-
13-Aug-18,80,101,90.5,-
14-Aug-18,85,103,94,-
15-Aug-18,82,98,90,-
16-Aug-18,86,100,93,-
17-Aug-18,84,103,93.5,-
18-Aug-18,87,107,97,-
19-Aug-18,89,108,98.5,-
20-Aug-18,90,108,99,-
21-Aug-18,83,104,93.5,-
22-Aug-18,82,102,92,0.03
23-Aug-18,79,103,91,0.25
24-Aug-18,78,101,89.5,0.42
25-Aug-18,79,100,89.5,-
26-Aug-18,81,103,92,-
27-Aug-18,84,105,94.5,-
28-Aug-18,79,105,92,-
29-Aug-18,80,106,93,-
30-Aug-18,84,104,94,-
31-Aug-18,85,105,95,-
1-Sep-18,86,103,94.5,-
2-Sep-18,79,103,91,-
3-Sep-18,74,99,86.5,0.19
4-Sep-18,80,101,90.5,-
5-Sep-18,83,103,93,-
6-Sep-18,82,105,93.5,-
7-Sep-18,83,105,94,-
8-Sep-18,84,109,96.5,-
9-Sep-18,85,106,95.5,-
10-Sep-18,86,107,96.5,-
11-Sep-18,81,108,94.5,-
12-Sep-18,80,107,93.5,-
13-Sep-18,77,106,91.5,-
14-Sep-18,77,109,93,-
15-Sep-18,81,109,95,-
16-Sep-18,86,105,95.5,-
17-Sep-18,85,107,96,-
18-Sep-18,85,104,94.5,-
19-Sep-18,74,92,83,0.17
20-Sep-18,73,98,85.5,-
21-Sep-18,78,101,89.5,-
22-Sep-18,81,102,91.5,-
23-Sep-18,78,104,91,-
24-Sep-18,82,102,92,-
25-Sep-18,80,100,90,-
26-Sep-18,78,104,91,-
27-Sep-18,78,104,91,-
28-Sep-18,77,105,91,-
29-Sep-18,79,102,90.5,-
30-Sep-18,74,95,84.5,0.07
1-Oct-18,69,78,73.5,0.32
2-Oct-18,69,81,75,2.36
3-Oct-18,74,87,80.5,-
4-Oct-18,71,87,79,-
5-Oct-18,69,86,77.5,-
6-Oct-18,67,85,76,-
7-Oct-18,57,77,67,0.41
8-Oct-18,59,77,68,-
9-Oct-18,59,81,70,-
10-Oct-18,60,84,72,-
11-Oct-18,68,84,76,-
12-Oct-18,66,82,74,0.04
13-Oct-18,63,73,68,2.19
14-Oct-18,62,76,69,-
15-Oct-18,64,78,71,-
16-Oct-18,59,69,64,-
17-Oct-18,60,77,68.5,-
18-Oct-18,59,80,69.5,-
19-Oct-18,63,85,74,-
20-Oct-18,70,93,81.5,-
21-Oct-18,72,89,80.5,-
22-Oct-18,69,89,79,-
23-Oct-18,67,89,78,0.03
24-Oct-18,61,84,72.5,-
25-Oct-18,64,86,75,-
26-Oct-18,63,88,75.5,-
27-Oct-18,63,89,76,-
28-Oct-18,63,90,76.5,-
29-Oct-18,65,88,76.5,-
30-Oct-18,66,85,75.5,-
31-Oct-18,58,77,67.5,-
1-Nov-18,56,78,67,-
2-Nov-18,56,82,69,-
3-Nov-18,57,82,69.5,-
4-Nov-18,59,82,70.5,-
5-Nov-18,59,84,71.5,-
6-Nov-18,58,84,71,-
7-Nov-18,59,83,71,-
8-Nov-18,59,81,70,-
9-Nov-18,54,78,66,-
10-Nov-18,55,79,67,-
11-Nov-18,52,74,63,-
12-Nov-18,45,67,56,-
13-Nov-18,47,68,57.5,-
14-Nov-18,51,68,59.5,-
15-Nov-18,44,76,60,-
16-Nov-18,50,77,63.5,-
17-Nov-18,48,75,61.5,-
18-Nov-18,51,74,62.5,-
19-Nov-18,48,76,62,-
20-Nov-18,53,78,65.5,-
21-Nov-18,51,75,63,-
22-Nov-18,54,67,60.5,-
23-Nov-18,51,70,60.5,-
24-Nov-18,48,72,60,-
25-Nov-18,49,72,60.5,-
26-Nov-18,48,76,62,-
27-Nov-18,49,76,62.5,-
28-Nov-18,51,76,63.5,-
29-Nov-18,52,68,60,0.25
30-Nov-18,51,65,58,0.1
1-Dec-18,48,65,56.5,-
2-Dec-18,49,62,55.5,-
3-Dec-18,42,63,52.5,-
4-Dec-18,43,65,54,-
5-Dec-18,44,73,58.5,-
6-Dec-18,54,59,56.5,0.03
7-Dec-18,52,70,61,0.02
8-Dec-18,49,68,58.5,-
9-Dec-18,46,70,58,-
10-Dec-18,48,71,59.5,-
11-Dec-18,53,72,62.5,-
12-Dec-18,46,68,57,-
13-Dec-18,43,69,56,-
14-Dec-18,42,66,54,-
15-Dec-18,50,70,60,-
16-Dec-18,46,68,57,-
17-Dec-18,46,71,58.5,-
18-Dec-18,46,70,58,-
19-Dec-18,44,69,56.5,-
20-Dec-18,43,75,59,-
21-Dec-18,49,69,59,-
22-Dec-18,45,72,58.5,-
23-Dec-18,45,73,59,-
24-Dec-18,46,72,59,-
25-Dec-18,46,66,56,-
26-Dec-18,45,62,53.5,-
27-Dec-18,42,61,51.5,-
28-Dec-18,38,56,47,-
29-Dec-18,34,57,45.5,-
30-Dec-18,35,57,46,-
31-Dec-18,36,52,44,0.14
1-Jan-19,38,51,44.5,-
2-Jan-19,30,52,41,-
3-Jan-19,33,57,45,-
4-Jan-19,37,67,52,-
5-Jan-19,45,67,56,0.05
6-Jan-19,47,55,51,0.5
7-Jan-19,43,63,53,-
8-Jan-19,43,72,57.5,-
9-Jan-19,48,73,60.5,-
10-Jan-19,50,67,58.5,-
11-Jan-19,45,66,55.5,-
12-Jan-19,47,69,58,0.03
13-Jan-19,47,63,55,0.01
14-Jan-19,51,70,60.5,0.03
15-Jan-19,53,65,59,0.12
16-Jan-19,50,69,59.5,-
17-Jan-19,48,69,58.5,-
18-Jan-19,51,70,60.5,-
19-Jan-19,44,71,57.5,-
20-Jan-19,46,74,60,-
21-Jan-19,49,68,58.5,-
22-Jan-19,43,64,53.5,-
23-Jan-19,38,62,50,-
24-Jan-19,39,69,54,-
25-Jan-19,40,69,54.5,-
26-Jan-19,41,72,56.5,-
27-Jan-19,45,73,59,-
28-Jan-19,47,72,59.5,-
29-Jan-19,51,71,61,-
30-Jan-19,55,74,64.5,-
31-Jan-19,51,73,62,-
1-Feb-19,54,75,64.5,-
2-Feb-19,56,73,64.5,-
3-Feb-19,56,67,61.5,0.31
4-Feb-19,55,66,60.5,-
5-Feb-19,50,67,58.5,-
6-Feb-19,42,56,49,0.08
7-Feb-19,36,57,46.5,-
8-Feb-19,38,67,52.5,-
9-Feb-19,44,59,51.5,-
10-Feb-19,38,66,52,-
11-Feb-19,43,59,51,-
12-Feb-19,38,69,53.5,-
13-Feb-19,49,67,58,-
14-Feb-19,56,61,58.5,0.07
15-Feb-19,52,67,59.5,-
16-Feb-19,49,63,56,-
17-Feb-19,41,60,50.5,-
18-Feb-19,43,55,49,0.04
19-Feb-19,36,57,46.5,-
20-Feb-19,34,58,46,-
21-Feb-19,40,54,47,0.99
22-Feb-19,38,47,42.5,0.3
23-Feb-19,36,55,45.5,-
24-Feb-19,37,64,50.5,-
25-Feb-19,41,67,54,-
26-Feb-19,43,72,57.5,-
27-Feb-19,54,76,65,-
28-Feb-19,51,77,64,-
1-Mar-19,56,78,67,-
2-Mar-19,57,76,66.5,-
3-Mar-19,52,75,63.5,-
4-Mar-19,52,74,63,-
5-Mar-19,53,80,66.5,-
6-Mar-19,58,85,71.5,-
7-Mar-19,58,75,66.5,-
8-Mar-19,54,69,61.5,-
9-Mar-19,46,66,56,-
10-Mar-19,48,70,59,-
11-Mar-19,52,68,60,0.05
12-Mar-19,51,59,55,0.23
13-Mar-19,50,67,58.5,0.02
14-Mar-19,44,65,54.5,-
15-Mar-19,48,75,61.5,-
16-Mar-19,60,79,69.5,-
17-Mar-19,59,79,69,-
18-Mar-19,57,83,70,-
19-Mar-19,59,85,72,-
20-Mar-19,60,83,71.5,-
21-Mar-19,57,70,63.5,-
22-Mar-19,50,74,62,-
23-Mar-19,54,78,66,-
24-Mar-19,53,81,67,-
25-Mar-19,54,87,70.5,-
26-Mar-19,58,87,72.5,-
27-Mar-19,62,82,72,-
28-Mar-19,57,86,71.5,-
29-Mar-19,57,82,69.5,-
30-Mar-19,55,83,69,-
31-Mar-19,55,81,68,-
1-Apr-19,58,83,70.5,-
2-Apr-19,58,88,73,-
3-Apr-19,63,79,71,-
4-Apr-19,60,85,72.5,-
5-Apr-19,58,82,70,-
6-Apr-19,65,82,73.5,-
7-Apr-19,61,89,75,-
8-Apr-19,63,97,80,-
9-Apr-19,66,97,81.5,-
10-Apr-19,60,77,68.5,-
11-Apr-19,55,78,66.5,-
12-Apr-19,64,76,70,-
13-Apr-19,55,80,67.5,-
14-Apr-19,58,86,72,-
15-Apr-19,62,89,75.5,-
16-Apr-19,61,82,71.5,0.01
17-Apr-19,57,79,68,-
18-Apr-19,60,92,76,-
19-Apr-19,65,99,82,-
20-Apr-19,70,94,82,-
21-Apr-19,67,90,78.5,-
22-Apr-19,62,88,75,-
23-Apr-19,64,86,75,-
24-Apr-19,65,94,79.5,-
25-Apr-19,68,99,83.5,-
26-Apr-19,50,100,75,-
27-Apr-19,71,98,84.5,-
28-Apr-19,69,97,83,-
29-Apr-19,63,87,75,0.08
30-Apr-19,61,83,72,-
1-May-19,65,88,76.5,-
2-May-19,64,88,76,-
3-May-19,65,94,79.5,-
4-May-19,66,95,80.5,-
5-May-19,67,94,80.5,-
6-May-19,67,86,76.5,-
7-May-19,60,80,70,0.01
8-May-19,65,88,76.5,-
9-May-19,64,90,77,-
10-May-19,66,87,76.5,-
11-May-19,64,87,75.5,0.01
12-May-19,65,86,75.5,0.02
13-May-19,65,91,78,-
14-May-19,71,98,84.5,-
15-May-19,73,100,86.5,-
16-May-19,73,94,83.5,-
17-May-19,61,81,71,-
18-May-19,62,86,74,-
19-May-19,68,81,74.5,-
20-May-19,60,77,68.5,-
21-May-19,57,83,70,-
22-May-19,60,77,68.5,-
23-May-19,54,76,65,0.06
24-May-19,59,88,73.5,-
25-May-19,63,94,78.5,-
26-May-19,66,85,75.5,-
27-May-19,65,79,72,-
28-May-19,61,84,72.5,-
29-May-19,65,91,78,-
30-May-19,71,96,83.5,-
31-May-19,72,99,85.5,-
1-Jun-19,72,98,85,-
2-Jun-19,76,96,86,-
3-Jun-19,74,98,86,-
4-Jun-19,74,98,86,-
5-Jun-19,76,102,89,-
6-Jun-19,77,103,90,-
7-Jun-19,79,102,90.5,-
8-Jun-19,73,100,86.5,-
9-Jun-19,75,105,90,-
10-Jun-19,81,109,95,-
11-Jun-19,84,108,96,-
12-Jun-19,80,112,96,-
13-Jun-19,82,107,94.5,-
14-Jun-19,77,105,91,-
15-Jun-19,77,105,91,-
16-Jun-19,80,107,93.5,-
17-Jun-19,82,105,93.5,-
18-Jun-19,79,104,91.5,-
19-Jun-19,76,104,90,-
20-Jun-19,76,104,90,-
21-Jun-19,77,103,90,-
22-Jun-19,77,99,88,-
23-Jun-19,76,100,88,-
