Daily Observed Min/Max Temperature & Precipitation
,JFK NY - KJFK,,,
Date,Min,Max,Avg,Precip
6-Dec-2009,33,40,36.5,-
7-Dec-2009,31,41,36.0,-
8-Dec-2009,35,46,40.5,-
9-Dec-2009,36,57,46.5,1.51
10-Dec-2009,29,48,38.5,-
11-Dec-2009,23,31,27.0,-
12-Dec-2009,27,38,32.5,-
13-Dec-2009,29,52,40.5,0.82
14-Dec-2009,39,47,43.0,-
15-Dec-2009,42,53,47.5,-
16-Dec-2009,28,43,35.5,-
17-Dec-2009,21,32,26.5,-
18-Dec-2009,17,31,24.0,-
19-Dec-2009,22,29,25.5,0.10
20-Dec-2009,22,33,27.5,-
21-Dec-2009,28,36,32.0,-
22-Dec-2009,24,36,30.0,-
23-Dec-2009,20,30,25.0,-
24-Dec-2009,22,38,30.0,-
25-Dec-2009,34,40,37.0,0.23
26-Dec-2009,37,52,44.5,0.63
27-Dec-2009,35,54,44.5,0.17
28-Dec-2009,30,44,37.0,-
29-Dec-2009,16,31,23.5,-
30-Dec-2009,18,32,25.0,-
31-Dec-2009,29,35,32.0,0.26
1-Jan-2010,32,41,36.5,0.03
2-Jan-2010,17,33,25.0,0.01
3-Jan-2010,18,24,21.0,-
4-Jan-2010,20,32,26.0,-
5-Jan-2010,21,32,26.5,-
6-Jan-2010,26,36,31.0,-
7-Jan-2010,29,40,34.5,-
8-Jan-2010,23,33,28.0,-
9-Jan-2010,19,32,25.5,-
10-Jan-2010,14,30,22.0,-
11-Jan-2010,21,32,26.5,-
12-Jan-2010,25,37,31.0,-
13-Jan-2010,24,36,30.0,-
14-Jan-2010,25,39,32.0,-
15-Jan-2010,27,50,38.5,-
16-Jan-2010,33,49,41.0,-
17-Jan-2010,31,42,36.5,0.62
18-Jan-2010,36,50,43.0,0.01
19-Jan-2010,33,46,39.5,-
20-Jan-2010,33,44,38.5,-
21-Jan-2010,29,43,36.0,-
22-Jan-2010,32,45,38.5,-
23-Jan-2010,26,42,34.0,-
24-Jan-2010,27,49,38.0,-
25-Jan-2010,45,53,49.0,0.85
26-Jan-2010,35,47,41.0,0.01
27-Jan-2010,30,42,36.0,-
28-Jan-2010,20,43,31.5,0.08
29-Jan-2010,16,25,20.5,-
30-Jan-2010,14,20,17.0,-
31-Jan-2010,15,30,22.5,-
1-Feb-2010,25,37,31.0,-
2-Feb-2010,25,33,29.0,-
3-Feb-2010,28,40,34.0,0.01
4-Feb-2010,29,38,33.5,-
5-Feb-2010,29,37,33.0,-
6-Feb-2010,21,33,27.0,0.02
7-Feb-2010,16,35,25.5,-
8-Feb-2010,23,39,31.0,-
9-Feb-2010,28,40,34.0,0.02
10-Feb-2010,30,33,31.5,0.53
11-Feb-2010,28,37,32.5,0.01
12-Feb-2010,25,36,30.5,-
13-Feb-2010,24,32,28.0,-
14-Feb-2010,27,39,33.0,-
15-Feb-2010,27,37,32.0,0.08
16-Feb-2010,30,34,32.0,0.44
17-Feb-2010,26,34,30.0,-
18-Feb-2010,31,40,35.5,-
19-Feb-2010,35,43,39.0,-
20-Feb-2010,35,45,40.0,-
21-Feb-2010,33,47,40.0,-
22-Feb-2010,28,44,36.0,0.03
23-Feb-2010,36,39,37.5,1.15
24-Feb-2010,38,42,40.0,0.52
25-Feb-2010,28,38,33.0,1.42
26-Feb-2010,25,34,29.5,-
27-Feb-2010,29,37,33.0,-
28-Feb-2010,30,40,35.0,-
1-Mar-2010,36,49,42.5,-
2-Mar-2010,34,47,40.5,-
3-Mar-2010,34,41,37.5,0.03
