State,year,week,ILITOTAL
Pennsylvania,2012,9,213
Texas,2012,9,1434
Washington,2012,9,84
Arizona,2012,10,334
California,2012,10,812
Colorado,2012,10,321
Georgia,2012,10,696
Illinois,2012,10,1829
New York,2012,10,102
Pennsylvania,2012,10,172
Texas,2012,10,960
Washington,2012,10,103
Arizona,2012,11,321
California,2012,11,920
Colorado,2012,11,340
Georgia,2012,11,748
Illinois,2012,11,2074
New York,2012,11,127
Pennsylvania,2012,11,199
Texas,2012,11,1278
Washington,2012,11,97
Arizona,2012,12,309
California,2012,12,819
Colorado,2012,12,274
Georgia,2012,12,688
Illinois,2012,12,1562
New York,2012,12,86
Pennsylvania,2012,12,205
Texas,2012,12,1149
Washington,2012,12,78
Arizona,2012,13,298
California,2012,13,1229
Colorado,2012,13,188
Georgia,2012,13,642
Illinois,2012,13,1077
New York,2012,13,78
Pennsylvania,2012,13,214
Texas,2012,13,1057
Washington,2012,13,102
Arizona,2012,14,275
California,2012,14,952
Colorado,2012,14,194
Georgia,2012,14,521
Illinois,2012,14,1009
New York,2012,14,95
Pennsylvania,2012,14,184
Texas,2012,14,947
Washington,2012,14,115
Arizona,2012,15,280
California,2012,15,927
Colorado,2012,15,156
Georgia,2012,15,468
Illinois,2012,15,962
New York,2012,15,88
Pennsylvania,2012,15,196
Texas,2012,15,851
Washington,2012,15,125
Arizona,2012,16,234
California,2012,16,717
Colorado,2012,16,129
Georgia,2012,16,468
Illinois,2012,16,863
New York,2012,16,88
Pennsylvania,2012,16,193
Texas,2012,16,842
Washington,2012,16,120
Arizona,2012,17,175
California,2012,17,693
Colorado,2012,17,133
Georgia,2012,17,303
Illinois,2012,17,839
New York,2012,17,82
Pennsylvania,2012,17,148
Texas,2012,17,765
Washington,2012,17,93
Arizona,2012,18,163
California,2012,18,732
Colorado,2012,18,125
Georgia,2012,18,175
Illinois,2012,18,749
New York,2012,18,47
Pennsylvania,2012,18,143
Texas,2012,18,737
Washington,2012,18,106
Arizona,2012,19,151
California,2012,19,673
Colorado,2012,19,99
Georgia,2012,19,189
Illinois,2012,19,544
New York,2012,19,52
Pennsylvania,2012,19,127
Texas,2012,19,751
Washington,2012,19,79
Arizona,2012,20,126
California,2012,20,613
Colorado,2012,20,130
Georgia,2012,20,208
Illinois,2012,20,542
New York,2012,20,46
Pennsylvania,2012,20,119
Texas,2012,20,750
Washington,2012,20,54
Arizona,2012,21,117
California,2012,21,593
Colorado,2012,21,77
Georgia,2012,21,476
Illinois,2012,21,482
New York,2012,21,34
Pennsylvania,2012,21,97
Texas,2012,21,781
Washington,2012,21,26
Arizona,2012,22,99
California,2012,22,465
Colorado,2012,22,85
Georgia,2012,22,496
Illinois,2012,22,511
New York,2012,22,24
Pennsylvania,2012,22,83
Texas,2012,22,611
Washington,2012,22,25
Arizona,2012,23,92
California,2012,23,497
Colorado,2012,23,88
Georgia,2012,23,363
Illinois,2012,23,490
New York,2012,23,18
Pennsylvania,2012,23,71
Texas,2012,23,552
Washington,2012,23,19
Arizona,2012,24,102
California,2012,24,466
Colorado,2012,24,77
Georgia,2012,24,346
Illinois,2012,24,374
New York,2012,24,9
Pennsylvania,2012,24,62
Texas,2012,24,520
Washington,2012,24,16
Arizona,2012,25,90
California,2012,25,482
Colorado,2012,25,75
Georgia,2012,25,261
Illinois,2012,25,389
New York,2012,25,13
Pennsylvania,2012,25,64
Texas,2012,25,539
Washington,2012,25,17
Arizona,2012,26,94
California,2012,26,411
Colorado,2012,26,60
Georgia,2012,26,231
Illinois,2012,26,402
New York,2012,26,8
Pennsylvania,2012,26,59
Texas,2012,26,572
Washington,2012,26,16
Arizona,2012,27,57
California,2012,27,365
Colorado,2012,27,57
Georgia,2012,27,253
Illinois,2012,27,369
New York,2012,27,13
Pennsylvania,2012,27,43
Texas,2012,27,516
Washington,2012,27,13
Arizona,2012,28,63
